number_of_authors,age,number_unique_changes,size,lines_added,lines_deleted,buggy,id
2,-7,3,114,113,0,0,1536
6,-7,9,38,38,0,0,174
4,-1091510,8,155,100,110,0,694
5,-7,11,90,90,0,0,79
3,-914792,14,313,10,6,0,900
3,-1028820,9,107,5,7,0,560
4,-1341856,8,118,8,24,0,622
3,-1102999,8,155,24,32,0,523
2,-914796,6,52,6,7,0,538
4,-1091510,7,120,7,8,0,653
5,-7,21,372,372,0,0,247
2,-7,3,190,190,0,0,36
4,-1341856,9,187,5,7,0,602
4,-1341856,15,178,9,7,0,672
2,-914792,6,23,5,6,0,1541
2,-914796,7,107,10,11,0,506
6,-7,17,173,173,0,0,108
4,-1103020,14,226,30,129,0,704
7,-7,14,162,162,0,0,270
3,-914792,6,34,5,6,0,936
6,-7,10,38,38,0,0,8
6,-7,22,406,406,0,0,353
4,-1341856,10,215,6,8,0,612
4,-1341856,10,201,5,8,0,889
3,-914792,12,248,5,6,0,831
4,-1094391,11,159,6,18,0,788
7,-7,9,36,36,0,0,334
7,-7,28,600,599,0,0,207
5,-7,7,100,100,0,0,289
5,-7,9,46,46,0,0,27
4,8,15,0,0,637,0,886
3,8,11,0,0,75,0,586
3,8,7,0,0,33,0,942
3,8,9,0,0,154,0,530
5,8,14,0,0,159,0,862
3,8,10,0,0,264,0,935
4,8,20,0,0,374,0,736
3,8,15,0,0,312,0,912
2,8,7,0,0,22,0,1547
5,8,13,0,0,285,0,599
4,8,11,0,0,214,0,620
4,8,10,0,0,166,0,818
2,8,7,0,0,109,0,785
4,8,12,0,0,193,0,650
4,8,8,0,0,119,0,658
2,8,8,0,0,106,0,513
4,8,16,0,0,177,0,682
3,8,11,0,0,220,0,757
3,8,8,0,0,42,0,972
3,8,9,0,0,137,0,827
3,8,13,0,0,247,0,840
6,8,14,0,0,196,0,558
3,8,11,0,0,199,0,953
4,8,12,0,0,158,0,797
4,8,9,0,0,154,0,701
3,8,9,0,0,455,0,871
3,8,9,0,0,201,0,638
4,8,9,0,0,169,0,692
2,8,7,0,0,64,0,537
4,8,9,0,0,117,0,629
3,8,11,0,0,250,0,808
3,8,8,0,0,67,0,848
4,8,15,0,0,225,0,716
3,8,10,0,0,174,0,746
3,8,13,0,0,119,0,925
4,8,10,0,0,186,0,609
4,8,11,0,0,114,0,964
4,8,11,0,0,200,0,897
4,8,9,0,0,171,0,667
2,8,7,0,0,52,0,544
4,8,21,0,0,516,0,778
3,8,8,0,0,214,0,521
2,8,7,0,0,40,0,575
3,8,10,0,0,106,0,568
1,12,3,190,190,0,0,3
2,12,4,0,0,190,0,39
6,465371,24,317,36,38,0,67
7,465371,29,635,35,0,0,228
6,476470,20,310,3,2,0,417
6,479490,23,414,8,1,0,374
7,14119,30,646,11,0,0,233
7,481216,16,213,1,0,0,395
